no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_income_ratio,monthly_loan_payment,dti_ratio,total_assets_value,asset_to_loan_ratio,loan_status
5.0,1,0,7900000.0,29900000.0,6.0,568.0,5800000.0,13900000.0,15900000.0,8700000.0,3.7848096474924495,415277.77777777775,0.630801687763713,44300000.0,1.4816053016185518,0
0.0,1,1,9600000.0,34000000.0,12.0,710.0,23800000.0,10300000.0,38100000.0,7800000.0,3.541666297743094,236111.11111111112,0.2951388888888889,80000000.0,2.352941107266438,0
1.0,0,0,800000.0,2900000.0,8.0,682.0,2200000.0,1100000.0,2900000.0,700000.0,3.6249954687556643,30208.333333333332,0.45312499999999994,6900000.0,2.3793095243760263,0
2.0,0,1,4900000.0,13100000.0,18.0,754.0,8200000.0,3300000.0,16500000.0,7200000.0,2.673468842149216,60648.148148148146,0.14852607709750568,35200000.0,2.6870226956471224,0
5.0,0,1,3000000.0,11100000.0,12.0,441.0,8500000.0,2500000.0,7300000.0,2000000.0,3.6999987666670777,77083.33333333333,0.3083333333333333,20300000.0,1.8288286640694897,1
4.0,1,0,300000.0,1000000.0,10.0,819.0,700000.0,300000.0,900000.0,200000.0,3.3333222222592593,8333.333333333334,0.33333333333333337,2100000.0,2.0999979000021,0
1.0,1,1,300000.0,600000.0,8.0,816.0,600000.0,300000.0,1100000.0,200000.0,1.9999933333555555,6250.0,0.25,2200000.0,3.6666605555657408,0
5.0,0,0,8700000.0,33000000.0,4.0,678.0,22500000.0,14800000.0,29200000.0,4300000.0,3.79310301228701,687500.0,0.9482758620689655,70800000.0,2.1454544804407734,0
1.0,1,0,9300000.0,28900000.0,6.0,526.0,11100000.0,1600000.0,19700000.0,11000000.0,3.1075265475777907,401388.8888888889,0.517921146953405,43400000.0,1.5017300518432508,1
3.0,0,1,9500000.0,20600000.0,2.0,731.0,13400000.0,3800000.0,20700000.0,9200000.0,2.1684208243767555,858333.3333333334,1.0842105263157895,47100000.0,2.2864076559996285,0
1.0,1,1,7700000.0,25500000.0,12.0,549.0,18100000.0,10600000.0,20500000.0,7000000.0,3.3116878815989765,177083.33333333334,0.275974025974026,56200000.0,2.2039214821991577,1
